,NAME,OBJNAME_super,OBJNAME_recipe,MAIN_ID,CIVIL,RA,DEC,FILENAME,SNRH_pix,SNRH_res,SNRK_pix,SNRK_res,U,B,V,R,G,I,PASTEL_Teff,PASTEL_logg,PASTEL_[Fe/H],PASTEL_Flag,FILE_URL,CAL_URL,RAW_URL
205,V* V830 Tau,V830 Tau,V830 Tau ,V* V830 Tau,20180112,68.28937499999999,24.564222222222224,SDCH_20180112_0051.fits,61.59392547607422,119,55.051395416259766,105,,13.90999984741211,12.079999923706056,11.300000190734863,11.667200088500977,,,,,,https://utexas.box.com/shared/static/3wg8a5qt3n4zgoed0kmkh9pfwabxybv4.gz,https://utexas.box.com/shared/static/vngx55pr9nv3fbgqhdrvews7c0or1xqw.gz,https://utexas.box.com/s/8kuo99rknogm8dpxff4j1b8h9mfupqnp
206,V* V827 Tau,V827 Tau,V827 Tau ,V* V827 Tau,20180112,68.05829166666666,18.33963888888889,SDCH_20180112_0057.fits,63.89854431152344,123,57.56607818603516,111,,14.0,12.630000114440918,12.350000381469728,11.86989974975586,,,,,,https://utexas.box.com/shared/static/3jssoh6as82a038aoqlkzy1foo5cj9dv.gz,https://utexas.box.com/shared/static/vngx55pr9nv3fbgqhdrvews7c0or1xqw.gz,https://utexas.box.com/s/8kuo99rknogm8dpxff4j1b8h9mfupqnp
207,V* V827 Tau,V827 Tau,V827 Tau ,V* V827 Tau,20180927,68.05920833333332,18.33813888888889,SDCH_20180927_0093.fits,68.7247085571289,132,49.33500671386719,95,,14.0,12.630000114440918,12.350000381469728,11.86989974975586,,,,,,https://utexas.box.com/shared/static/sw3fe8alwd11ax7bjb61avlse5kw9vva.gz,https://utexas.box.com/shared/static/b90xi2d0913z2orypuayn7z3asbn3a03.gz,https://utexas.box.com/s/sqymy4265dddzur7md3eykgbb06vxiy8
208,V* V830 Tau,V830 Tau,V830 Tau ,V* V830 Tau,20180927,68.29037499999998,24.56263888888889,SDCH_20180927_0095.fits,60.1357307434082,116,43.34451675415039,84,,13.90999984741211,12.079999923706056,11.300000190734863,11.667200088500977,,,,,,https://utexas.box.com/shared/static/w80rg1biebx9xqvhzqi6i2hglld32enm.gz,https://utexas.box.com/shared/static/b90xi2d0913z2orypuayn7z3asbn3a03.gz,https://utexas.box.com/s/sqymy4265dddzur7md3eykgbb06vxiy8
209,V* V1023 Tau,Hubble 4,Hubble 4 ,V* V1023 Tau,20180927,64.69466666666665,28.335916666666662,SDCH_20180927_0106.fits,53.97354507446289,104,47.134613037109375,90,,14.3100004196167,12.0,11.210000038146973,11.65429973602295,,,,,,https://utexas.box.com/shared/static/415w5d3ov64wn6ttty2xh5spq2g6cyqt.gz,https://utexas.box.com/shared/static/b90xi2d0913z2orypuayn7z3asbn3a03.gz,https://utexas.box.com/s/sqymy4265dddzur7md3eykgbb06vxiy8
210,V* V1023 Tau,Hubble 4,Hubble 4 ,V* V1023 Tau,20180929,64.69862499999999,28.33580555555556,SDCH_20180929_0089.fits,76.70707702636719,148,65.09614562988281,125,,14.3100004196167,12.0,11.210000038146973,11.65429973602295,,,,,,https://utexas.box.com/shared/static/altf81ea5hs8u0m3il6v3m5xl78zh28d.gz,https://utexas.box.com/shared/static/dqdw1lin60nwc3xafq6mqx3gwpshny8r.gz,https://utexas.box.com/s/totyvutre36pa0xpxc5z7maqym3jbslr
211,V* V827 Tau,V827 Tau,V827 Tau ,V* V827 Tau,20180929,68.06179166666665,18.33758333333333,SDCH_20180929_0093.fits,52.4722900390625,101,37.06561279296875,71,,14.0,12.630000114440918,12.350000381469728,11.86989974975586,,,,,,https://utexas.box.com/shared/static/3noyy6hnv6l0sd66ttbd5uad8znei5qm.gz,https://utexas.box.com/shared/static/dqdw1lin60nwc3xafq6mqx3gwpshny8r.gz,https://utexas.box.com/s/totyvutre36pa0xpxc5z7maqym3jbslr
212,V* V830 Tau,V830 Tau,V830 Tau ,V* V830 Tau,20180929,68.29308333333331,24.562416666666667,SDCH_20180929_0095.fits,59.70393371582031,115,39.77081298828125,76,,13.90999984741211,12.079999923706056,11.300000190734863,11.667200088500977,,,,,,https://utexas.box.com/shared/static/mrakx5xsg1gkha2f5jp9kle2gkyaho2p.gz,https://utexas.box.com/shared/static/dqdw1lin60nwc3xafq6mqx3gwpshny8r.gz,https://utexas.box.com/s/totyvutre36pa0xpxc5z7maqym3jbslr
213,V* V1023 Tau,Hubble 4,Hubble 4 ,V* V1023 Tau,20181019,64.69624999999999,28.336166666666667,SDCH_20181019_0142.fits,60.24373245239258,115,61.54561996459961,118,,14.3100004196167,12.0,11.210000038146973,11.65429973602295,,,,,,https://utexas.box.com/shared/static/cpjmtlgm4aaqtqqbt53xtg32wpn4by7y.gz,https://utexas.box.com/shared/static/u5orizs80vycztxvdul2l78s90io2i6s.gz,https://utexas.box.com/s/53dtz77of25z1x62tcxeku1ec62sgerp
214,V* V827 Tau,V827 Tau,V827 Tau ,V* V827 Tau,20181019,68.06070833333332,18.337027777777777,SDCH_20181019_0150.fits,62.51025390625,120,59.405799865722656,114,,14.0,12.630000114440918,12.350000381469728,11.86989974975586,,,,,,https://utexas.box.com/shared/static/nsxiub7eqe9datl10ofyubkrvcvgcp30.gz,https://utexas.box.com/shared/static/u5orizs80vycztxvdul2l78s90io2i6s.gz,https://utexas.box.com/s/53dtz77of25z1x62tcxeku1ec62sgerp
