Spectrum,Observed,Ritz,Transition,Rel.,Aki,fik,Acc.,Ei           Ek,Lower level,Upper level,Type,TP,Line
Fe II,2.290307,2.2903138,4366.227,0.14,,,,12.8448160         -   13.3861576,3d6.(3H).4d               | 4G         | 11/2,3d5.(4F).4s.4p.(3P*)                | 6D*         | 9/2,,,L18349c139
Mg I,2.29117,2.291171,4364.582,2,60100.0,0.00338,D+,6.7790143         -    7.3201534,3s.4f                     | 1F*        | 3,3s.7d                               | 1D          | 2,,T6298c72,L6692
Fe II,2.2913424,2.2913429,4364.2539,2.5,155000.0,0.0122,C+,10.7142644         -   11.2553628,3d6.(5D).4d               | e 4F       | 7/2,3d6.(5D).5p                         | 4F*         | 7/2,,T6892c83,L18349c139
Fe II,2.29178713,2.29178713,4363.407,17,,,,12.7458673         -   13.2868609,3d6.(5D).6s               | 4D         | 5/2,3d6.(5D).6p                         | 4F*         | 7/2,,,L18349c148
Fe II,2.29277951,2.29277972,4361.5184,4,,,,12.7458673         -   13.2866266,3d6.(5D).6s               | 4D         | 5/2,3d6.(5D).6p                         | 4P*         | 5/2,,,L18349c148
Fe II,2.2928085,2.2928149,4361.4632,0.13,,,,14.1459608         -   14.6867118,3d6.(5D<0>).5g            | 2[4]       | 7/2,3d6.(5D<4>).6h                      | 2[4]*       | 7/2,,,L18349c139
Fe I,2.294133,2.2941336,4358.945,36,,,,4.29441489        -    4.83485507,3d6.4s2                   | b 1D2      | 2,3d7.(4F).4p                         | y 3D*       | 1,,,L11631
Fe I,2.2962269,2.2962271,4354.97,43,,,,5.33417031        -    5.87411777,3d6.(3H).4s.4p.(3P*)      | y 5G*      | 4,3d7.(4F).5s                         | e 5F        | 4,,,L11631
Ti I,2.29696,2.2969597,4353.581,460,76000.0,0.00492,B,1.8870882         -    2.4268635,3d3.(2G).4s               | a 3G       | 5,3d2.(3F).4s.4p.(3P*)                | z 3F*       | 4,,T8000,L10989
Fe II,2.2988014,2.2988025,4350.093,0.27,8000.0,0.0009,E,12.9178370         -   13.4571796,3d6.(3H).4d               | 4F         | 3/2,3d5.(2F1).4s.4p.(3P*)               | 4F*         | 5/2,,T6892c83,L18349c139
Fe I,2.2992379,2.2992370,4349.267,30,,,,5.06740926        -    5.60664989,3d8                       | 3P         | 2,3d6.(3P2).4s.4p.(3P*)               | x 3D*       | 3,,,L11631
Sc I,2.2992518,2.2992519,4349.241,510,75000.0,0.00593,C,1.4478022         -    1.9870393,3d2.(3F).4s               | 4F         | 9/2,3d.4s.(3D).4p                       | 4F*         | 9/2,,T9506,"L11621,L4189c12"
Mg I,2.300461,2.300446,4346.955,3,344000.0,0.0091,C+,6.7827460         -    7.321703,3s.5p                     | 1P*        | 1,3s.8s                               | 1S          | 0,,T5539,L6692
Ti I,2.301328,2.3013265,4345.317,3,,,,1.42975614        -    1.9685072,3d3.(4F).4s               | b 3F       | 2,3d2.(3F).4s.4p.(3P*)                | z 5G*       | 2,,,L10989
Fe II,2.30447158,2.30447190,4339.3896,7,,,,12.8033198         -   13.3413354,3d6.(5D).6s               | 4D         | 1/2,3d6.(5D).6p                         | 6F*         | 3/2,,,L18349c148
Fe I,2.3051076,2.3051083,4338.192,71,,,,5.72027099        -    6.25813812,3d7.(4P).4p               | w 5P*      | 3,3d6.(5D).4s (6D).4d                 | e 7P        | 4,,,L11631
Fe II,2.3055729,2.3055744,4337.3167,3.4,260000.0,0.0208,C+,10.7507828         -   11.2885412,3d6.(5D).4d               | e 4F       | 3/2,3d6.(3P1).5p                        | 4P*         | 3/2,,T6892c83,L18349c139
Ti I,2.30637,2.3063688,4335.818,3,,,,1.44315262        -    1.9807258,3d3.(4F).4s               | b 3F       | 3,3d2.(3F).4s.4p.(3P*)                | z 5G*       | 3,,,L10989
Fe II,2.3071883,2.3071973,4334.2799,0.8bl(Ne),,,,12.2815138         -   12.8188939,3d6.(3P2).5s              | 4P         | 1/2,3d6.(5D<3>).4f                      | 2[2]*       | 3/2,,,L18349c148
Fe II,2.3077534,2.3077532,4333.219,0.21,,,,12.7941734         -   13.3314241,3d6.(3P2).4d              | 2F         | 7/2,3d6.(5D).6p                         | 6P*         | 5/2,,,L18349c139
Fe II,2.3093236,2.3093232,4330.2723,2.1,,,,12.6502274         -   13.1871128,3d6.(5D).6s               | 6D         | 7/2,3d6.(5D).6p                         | 6D*         | 9/2,,,L18349c139
Ti I,2.309866,2.3098614,4329.256,2,,,,1.46013860        -    1.9968989,3d3.(4F).4s               | b 3F       | 4,3d2.(3F).4s.4p.(3P*)                | z 5G*       | 4,,,L10989
Fe II,2.311647,2.3116465,4325.92,0.1,17000.0,0.001,E,12.9540682         -   13.4904140,3d6.(3H).4d               | 2F         | 7/2,3d6.(3P2).5p                        | 4P*         | 5/2,,T6892c83,L18349c139
Sc I,2.3126451,2.3126453,4324.053,85,11900.0,0.00127,C,1.4329667         -    1.9690809,3d2.(3F).4s               | 4F         | 5/2,3d.4s.(3D).4p                       | 4F*         | 7/2,,T9506,"L11621,L4189c12"
Fe I,2.3150912,2.3150897,4319.484,830,1180000.0,0.122,D+,6.17506487        -    6.71061300,3d6.(5D).4s (6D).5p       | n 7D*      | 3,3d6.(5D).4s (6D).6s                 | g 7D        | 4,,T5720,L11631
Fe II,2.316036,2.3160275,4317.722,0.17bl(Fe I),3400.0,0.00027,E,12.8846409         -   13.4199721,3d6.(3H).4d               | 4G         | 7/2,3d5.(2F1).4s.4p.(3P*)               | 4D*         | 7/2,,T6892c83,L18349c148
Fe I,2.316036,2.3160356,4317.721,21bl,,,,5.82938837        -    6.36471779,3d7.(4P).4p               | w 3D*      | 3,3d6.(5D).4s (6D).4d                 | e 7G        | 4,,,L11631
Fe II,2.3167788,2.3167776,4316.3378,0.5,190000.0,0.012,E,13.1544172         -   13.6895752,3d6.(3F2).4d              | 2H         | 9/2,3d6.(3H).5p                         | 2G*         | 7/2,,T6892c83,L18349c139
Fe II,2.3169647,2.31696552,4315.9915,0.27,,,,12.8713640         -   13.4064786,3d6.(5D).5d               | 4F         | 7/2,3d5.(4F).4s.4p.(3P*)                | 6D*         | 5/2,,,L18349c139
Fe I,2.3170545,2.3170546,4315.824,660,,,,5.08559017        -    5.62068415,3d6.(5D).4s.4p.(1P*)      | x 5F*      | 2,3d6.(5D).4s (6D).5s                 | e 5D        | 2,,,L11631
Fe II,2.31790294,2.31790321,4314.2445,17,,,,12.6953327         -   13.2302308,3d6.(5D).6s               | 4D         | 7/2,3d6.(5D).6p                         | 4F*         | 9/2,,,L18349c148
Fe I,2.3180051,2.3180048,4314.054,398,,,,5.87411777        -    6.40899243,3d7.(4F).5s               | e 5F       | 4,3d6.(5D).4s (6D).5p                 | u 5P*       | 3,,,L11631
Ti I,2.318321,2.3183197,4313.466,30,4000.0,0.000322,C+,1.87316703        -    2.4079690,3d3.(2G).4s               | a 3G       | 3,3d2.(3F).4s.4p.(3P*)                | z 3F*       | 3,,T8000,L10989
Fe II,2.321433,2.3214330,4307.684,0.11,,,,13.7089715         -   14.2430563,3d6.(3G).4d               | 2F         | 7/2,3d6.(3G).5p                         | 2G*         | 9/2,,,L18349c139
Fe I,2.323966,2.3239665,4302.988,38,,,,6.47361547        -    7.00711799,3d7.(2D2).4p              | t 3D*      | 3,3d7.(4F).6s                         | 5F          | 4,,,L11631
Ti I,2.324311,2.3243105,4302.351,6,,,,5.46901639        -    6.00243996,3d3.4d                    | 5P         | 3,3d2.4s.(4F<9/2>).4f                 | 2[7/2]*     | 4,,,L12119
Fe II,2.3246735,2.3246732,4301.6793,0.5,,,,13.1129762         -   13.6463166,3d6.(3F2).4d              | 2H         | 11/2,3d6.(3H).5p                         | 2G*         | 9/2,,,L18349c139
Fe I,2.3247427,2.3247418,4301.551,68,,,,6.06634697        -    6.59967157,3d7.(4F).5s               | e 3F       | 2,3d7.(2D2).4p                        | v 3P*       | 1,,,L11631
Fe II,2.3248569,2.3248574,4301.3401,2.8,183000.0,0.0148,C+,10.7370057         -   11.2703037,3d6.(5D).4d               | e 4F       | 5/2,3d6.(5D).5p                         | 4P*         | 5/2,,T6892c83,L18349c139
Fe II,2.3253264,2.3253278,4300.4715,0.4bl(Fe II)*,1000.0,8e-05,D,12.9572238         -   13.4904140,3d6.(3H).4d               | 4F         | 5/2,3d6.(3P2).5p                        | 4P*         | 5/2,,T6892c83,L18349c148
Fe II,2.3253264,2.3253372,4300.4715,0.4bl(Fe II)*,,,,5.60488800        -    6.1380760,3d6.(5D).4p               | z 4D*      | 1/2,3d6.(3P1).4s                        | c 4P        | 3/2,,,L18349c148
Fe II,2.326075,2.3260753,4299.0875,1bl(Fe I),490000.0,0.0267,B+,10.7370057         -   11.2700245,3d6.(5D).4d               | e 4F       | 5/2,3d6.(5D).5p                         | 4D*         | 3/2,,T6892c83,L18349c148
Fe I,2.3260751,2.3260693,4299.087,34,,,,5.82793998        -    6.36096020,3d7.(4F).5s               | e 5F       | 5,3d7.(2D2).4p                        | v 3F*       | 4,,,L11631
Fe II,2.3279608,2.32796079,4295.6049,0.32,,,,12.7707022         -   13.3032894,3d6.(3P2).4d              | 4D         | 5/2,3d5.(2F1).4s.4p.(3P*)               | 4G*         | 5/2,,,L18349c139
Fe II,2.328581,2.32858147,4294.4608,0.21,,,,12.7908695         -   13.3233147,3d6.(3P2).4d              | 4F         | 9/2,3d5.(2F1).4s.4p.(3P*)               | 4G*         | 7/2,,,L18349c139
Ti I,2.328639,2.328641,4294.353,2,,,,5.5144769         -    6.0469085,3d3.(4F).5p               | 5F*        | 5,3d2.4s.(4F).5d                      | 5F          | 5,,,L10989
Sc I,2.32864,2.328599,4294.35,13*,,,,5.2024946         -    5.7349358,3d2.(3F).5s               | 4F         | 5/2,3d2.(3F).5p                         | 4F*         | 5/2,,,L4189c12
Sc I,2.32864,2.328637,4294.35,13*,,,,2.5689319         -    3.1013643,3d2.(3P).4s               | 2P         | 3/2,3d.4s.(3D).4p                       | 2D*         | 5/2,,,L4189c12
Fe I,2.328744,2.3287447,4294.16,74,,,,6.22223912        -    6.75464698,3d6.(5D).4s (6D).5p       | n 7P*      | 4,3d6.4s.(6D).6s                      | 5D          | 4,,,L11631
Fe I,2.3314831,2.3314838,4289.115,162,,,,4.07581091        -    4.60759327,3d8                       | c 3F       | 4,3d7.(4F).4p                         | y 3F*       | 3,,,L11631
Fe II,2.3316689,2.3316692,4288.7735,0.2,,,,12.8882321         -   13.4199721,3d6.(5D).5d               | 6F         | 9/2,3d5.(2F1).4s.4p.(3P*)               | 4D*         | 7/2,,,L18349c139
Ti I,2.331742,2.331743,4288.64,2,,,,5.1256981         -    5.6574213,3d3.(2H).4p               | 3G*        | 5,3d2.4s.(2F).4d                      | 3G          | 5,,,L10989
Fe I,2.3331553,2.3331560,4286.041,79,,,,5.72027099        -    6.25167222,3d7.(4P).4p               | w 5P*      | 3,3d6.(5D).4s (6D).4d                 | f 5D        | 4,,,L11631
Mg I,2.333446,2.333448,4285.507,1,78700.0,0.00459,D+,6.7189834         -    7.2503182,3s.4d                     | 3D         | 3,3s.7p                               | 3P*         | 2,,"T6298c72,LS",L6692
Fe II,2.3350604,2.3350590,4282.544,0.16,,,,12.8700712         -   13.4010394,3d6.(3P2).4d              | 4D         | 1/2,3d6.(5D).6p                         | 4P*         | 1/2,,,L18349c139
Na I,2.335475,2.335481,4281.784,(40),5840000.0,0.955,A+,3.7526285         -    4.28350081,2p6.4p                    | 2P*        | 1/2,2p6.4d                              | 2D          | 3/2,,c30,L4740c73
Na I,2.338552,2.338553,4276.15,(40),7010000.0,0.862,A+,3.7533216         -    4.28349647,2p6.4p                    | 2P*        | 3/2,2p6.4d                              | 2D          | 5/2,,c30,L4740c73
Fe II,2.3394949,2.33949596,4274.427,0.4,,,,12.6878163         -   13.2177775,3d6.(5D).6s               | 6D         | 5/2,3d6.(5D).6p                         | 6D*         | 7/2,,,L18349c139
Fe II,2.33998821,2.3399887,4273.5258,14,830000.0,0.054,B+,10.6780583         -   11.2079078,3d6.(5D).4d               | e 4F       | 9/2,3d6.(5D).5p                         | 4D*         | 7/2,,T6892c83,L18349c145
Ti I,2.341025,2.341027,4271.633,4,,,,4.2408776         -    4.7704923,3d2.(1G).4s.4p.(3P*)      | v 3F*      | 4,3d4                                 | 3D          | 3,,,L10989
Sc I,2.3411128,2.3411130,4271.473,460,67300.0,0.00553,C,1.4394858         -    1.9690809,3d2.(3F).4s               | 4F         | 7/2,3d.4s.(3D).4p                       | 4F*         | 7/2,,T9506,"L11621,L4189c12"
Fe II,2.34165122,2.34165111,4270.4908,2.9,,,,12.7137971         -   13.2432705,3d6.(5D).6s               | 6D         | 3/2,3d6.(5D).6p                         | 6D*         | 5/2,,,L18349c148
Fe I,2.34245,2.3424481,4269.035,22,,,,5.34482452        -    5.87411777,3d6.(3H).4s.4p.(3P*)      | z 5H*      | 4,3d7.(4F).5s                         | e 5F        | 4,,,L11631
Ti I,2.344786,2.3447879,4264.782,380,60000.0,0.00385,B,1.87920395        -    2.4079690,3d3.(2G).4s               | a 3G       | 4,3d2.(3F).4s.4p.(3P*)                | z 3F*       | 3,,T8000,L10989
Fe II,2.3462141,2.3462144,4262.1857,5,205000.0,0.0169,B+,10.6780583         -   11.2065018,3d6.(5D).4d               | e 4F       | 9/2,3d6.(5D).5p                         | 6F*         | 9/2,,T6892c83,L18349c139
Ti I,2.346514,2.3465139,4261.64,5*,,,,5.45154131        -    5.97991746,3d3.(4F).4d               | 5F         | 3,3d2.4s.(4F<7/2>).4f                 | 2[7/2]*     | 4,,,L12119
Ti I,2.346514,2.346523,4261.64,5*,,,,5.5913554         -    6.1197296,3d2.4s.(2D).5s            | 3D         | 2,3d3.(4F<9/2>).4f                    | 2[7/2]*     | 3,,,L12119
