Spectrum,Observed,Ritz,Transition,Rel.,Aki,fik,Acc.,Ei           Ek,Lower level,Upper level,Type,TP,Line
Fe II,2.12310637,2.1231062,4710.0796,20,,,,12.6878163         -   13.2717918,3d6.(5D).6s               | 6D         | 5/2,3d6.(5D).6p                         | 6D*         | 3/2,,,L18349c148
Mg I,2.123141,2.123136,4710.003,2,227000.0,0.0092,D+,6.7264807         -    7.3104479,3s.5p                     | 3P*        | 2,3s.8s                               | 3S          | 1,,"T6298c72,LS",L6692
Fe II,2.1232547,2.123264,4709.751,0.5,,,,10.9088324         -   11.4927646,3d6.(5D).4d               | 4P         | 5/2,3d6.(3P1).4p                        | u 2D*       | 5/2,,,L18349c145
Fe II,2.1234059,2.1234060,4709.4153,0.6,120000.0,0.008,E,12.8846409         -   13.4685339,3d6.(3H).4d               | 4G         | 7/2,3d5.(4G).4s.4p.(1P*)                | 4G*         | 7/2,,T6892c83,L18349c139
Fe II,2.12381015,2.12381006,4708.5188,12,,,,12.7850548         -   13.3688367,3d6.(5D).6s               | 4D         | 3/2,3d6.(5D).6p                         | 6P*         | 3/2,,,L18349c148
Fe I,2.1244262,2.1244264,4707.153,500,,,,4.95563019        -    5.53924278,3d6.(5D).4s.4p.(1P*)      | x 5D*      | 3,3d6.(5D).4s (6D).5s                 | e 5D        | 4,,,L11631
Ti I,2.124457,2.124454,4707.085,17,,,,4.8486575         -    5.4322625,3d3.(4F).5s               | f 5F       | 1,3d3.(4F).5p                         | 5G*         | 2,,,L10989
Fe I,2.1254756,2.1254762,4704.829,21,,,,6.18068544        -    6.76400977,3d7.(2G).4p               | v 3G*      | 3,3d7.(4F).4d                         | e 3H        | 4,,,L11631
Fe II,2.12574473,2.1257441,4704.2337,3.3,,,,12.6878163         -   13.2710671,3d6.(5D).6s               | 6D         | 5/2,3d5.(2D3).4s.4p.(3P*)               | 4D*         | 7/2,,,L18349c139
Sc I,2.12653,2.126549,4702.5,3,,,,3.6074663         -    4.1904964,3d2.(3F).4p               | 4G*        | 7/2,3d3                                 | 4F          | 5/2,,,L4189c12
Fe I,2.127138,2.1271373,4701.153,27bl*,,,,5.84412959        -    6.42699840,3d7.(4P).4p               | w 3D*      | 2,3d6.(5D).4s (6D).4d                 | e 5P        | 3,,,L11631
Fe I,2.127138,2.1271423,4701.153,27bl*,,,,6.25289818        -    6.83576563,3d6.(5D).4s (6D).5p       | n 7F*      | 3,3d6.4s.(6D).6s                      | 5D          | 2,,,L11631
Ti I,2.127735,2.1277352,4699.834,1,,,,3.1081403         -    3.6908453,3d3.(2F).4s               | 3F         | 3,3d2.(3F).4s.4p.(1P*)                | w 3D*       | 2,,,L10989
Fe II,2.1278455,2.1278461,4699.5894,1,35000.0,0.0018,E,12.9077394         -   13.4904140,3d6.(3P2).4d              | 4F         | 7/2,3d6.(3P2).5p                        | 4P*         | 5/2,,T6892c83,L18349c139
Fe I,2.1281688,2.1281676,4698.875,12,,,,3.30092244        -    3.88350907,3d7.(2D2).4s              | a 3D       | 2,3d6.(5D).4s.4p.(3P*)                | z 3D*       | 3,,,L11631
Fe I,2.128301,2.1283008,4698.584,14,,,,6.45554341        -    7.03809358,3d6.(5D).4s (6D).4d       | e 5P       | 2,3d6.4s.(6D<9/2>).4f                 | 2[7/2]*     | 3,,,L11631
Sc I,2.1289596,2.1289682,4697.13,50,45400.0,0.00206,C,1.9865643         -    2.5689319,3d.4s.(1D).4p             | 2D*        | 5/2,3d2.(3P).4s                         | 2P          | 3/2,,T9506,"L19272,L4189c12"
Fe I,2.129017,2.1290153,4697.004,32bl*,,,,5.66931758        -    6.25167222,3d6.(3F2).4s.4p.(3P*)     | x 5G*      | 5,3d6.(5D).4s (6D).4d                 | f 5D        | 4,,,L11631
Fe I,2.129017,2.1290158,4697.004,32bl*,,,,3.07133880        -    3.65369332,3d7.(2P).4s               | c 3P       | 1,3d6.(5D).4s.4p.(3P*)                | z 5P*       | 2,,,L11631
Fe II,2.1291107,2.1291096,4696.797,0.22,70000.0,0.0045,E,12.8787670         -   13.4610958,3d6.(3H).4d               | 4H         | 9/2,3d6.(3H).5p                         | 4G*         | 9/2,,T6892c83,L18349c139
Fe II,2.12940043,2.12940070,4696.1576,21,,,,12.7458673         -   13.3281166,3d6.(5D).6s               | 4D         | 5/2,3d6.(5D).6p                         | 4D*         | 3/2,,,L18349c148
Fe II,2.1299726,2.1299708,4694.896,0.35bl(Fe II)*,6000.0,0.00043,E,12.7941734         -   13.3762669,3d6.(3P2).4d              | 2F         | 7/2,3d5.(4F).4s.4p.(3P*)                | 6D*         | 7/2,,T6892c83,L18349c148
Fe II,2.1299726,2.1299735,4694.896,0.35bl(Fe II)*,9000.0,0.0006,E,13.0375699         -   13.6196626,3d6.(3F2).4d              | 4G         | 9/2,3d5.(2H).4s.4p.(3P*)                | 4G*         | 9/2,,T6892c83,L18349c148
Fe II,2.1300743,2.1300747,4694.672,0.8,440000.0,0.025,D,12.9159652         -   13.4980302,3d6.(3H).4d               | 4I         | 11/2,3d6.(3H).5p                         | 4H*         | 9/2,,T6892c83,L18349c139
Fe II,2.1313953,2.1313959,4691.7623,0.9,12000.0,0.0007,E,13.0541566         -   13.6358609,3d6.(3F2).4d              | 4H         | 13/2,3d5.(2H).4s.4p.(3P*)                | 4H*         | 11/2,,T6892c83,L18349c139
Ti I,2.131444,2.1314422,4691.654,38,,,,3.8898563         -    4.4715479,3d3.(4F).4p               | w 3G*      | 3,3d4                                 | b 3G        | 3,,,L10989
Fe I,2.134418,2.1344225,4685.118,44,,,,5.74214676        -    6.32302612,3d7.(4P).4p               | w 5P*      | 2,3d6.(5D).4s (6D).4d                 | f 7D        | 2,,,L11631
Fe II,2.1345971,2.1345970,4684.7249,0.4,42000.0,0.0029,E,13.0544220         -   13.6352538,3d6.(3F2).4d              | 4G         | 7/2,3d6.(3H).5p                         | 4G*         | 7/2,,T6892c83,L18349c139
